company_key,ticker,company_name,matched_name,match_type
BURCELIKVANASANVETICAS,BURVA,Burçelik Vana San. Ve Tic. A.Ş.,Burçelik Vana Sanayi ve Ticaret A.S.,fuzzy_0.863
BURCELIKCELDKMSANAS,BURCE,Burçelik Çel. Dkm. San. A.Ş.,Burçelik Bursa Çelik Döküm Sanayii A.S.,fuzzy_0.745
BULBULOGLUVINC,BVSAN,Bülbüloğlu Vinç,Bulbuloglu Vinc Sanayi ve Ticaret Anonim Sirketi,prefix
CEOEVENTMEDYA,CEOEM,CEO Event Medya,Ceo Event Medya A.S.,prefix
CAGDASCAMSANAYIVETICARETAS,CGCAM,Cagdas Cam Sanayi ve Ticaret AS,Cagdas Cam Sanayi ve Ticaret A.S.,exact_key
CAN2TERMIK,CANTE,Can2 Termik,Çan2 Termik A.S.,prefix
CARREFOURSA,CRFSA,CarrefourSA,CarrefourSA Carrefour Sabanci Ticaret Merkezi A.S.,prefix
CASAEMTIAPETROLKIMYEVI,CASA,Casa Emtia Petrol Kimyevi,Casa Emtia Petrol Kimyevi ve Turevleri San. Tic. A.S.,prefix
CEMZEYTIN,CEMZY,Cem Zeytin,Cem Zeytin Anonim Sirketi,prefix
COCACOLAICECEK,CCOLA,Coca-Cola İçecek,Coca-Cola Içecek Anonim Sirketi,prefix
CONSUSENERJIISLETMECILIGI,CONSE,Consus Enerji İşletmeciliği,Consus Enerji Isletmeciligi ve Hizmetleri A.S.,prefix
COSMOS,COSMO,Cosmos,Cosmos Yatirim Holding Anonim Sirketi,prefix
CREDITWEST,CRDFA,Creditwest,Creditwest Faktoring Anonim Sirketi,prefix
CVKMADENISLETMELERI,CVKMD,Cvk Maden İşletmeleri,CVK Maden Isletmeleri Sanayi ve Ticaret Anonim Sirketi,prefix
CWENERJIMUHENDISLIK,CWENE,Cw Enerji Mühendislik,CW Enerji Mühendislik Ticaret ve Sanayi Anonim Sirketi,prefix
DAPGAYRIMENKUL,DAPGM,DAP Gayrimenkul,DAP Gayrimenkul Gelistirme A.S.,prefix
DOCO,DOCO,DO & CO,DO &amp; CO Aktiengesellschaft,token_subset
DYOBOYA,DYOBY,DYO Boya,DYO Boya Fabrikalari Sanayi ve Ticaret A.S.,prefix
DAGI,DAGI,Dagi,Dagi Giyim Sanayi ve Ticaret A.S.,prefix
DARDANELONENTAS,DARDL,Dardanel Önentaş,Dardanel Onentas Gida Sanayi A.S.,prefix
DATAGATE,DGATE,Datagate,Datagate Bilgisayar Malzemeleri Ticaret Anonim Sriketi,prefix
DCTTRADING,DCTTR,Dct Trading,DCT Trading Dis Ticaret Anonim Sirketi,prefix
DEMISASDOKUM,DMSAS,Demisaş Döküm,Demisas Döküm Emaye Mamülleri Sanayi Anonim Sirketi,prefix
DENGEYATIRIM,DENGE,Denge Yatırım,Denge Yatirim Holding A.S.,prefix
DENIZGAYRIMENKULYATIRIMORTAKLIGI,DZGYO,Deniz GYO,Deniz Gayrimenkul Yatirim Ortakligi A.S.,prefix
DERIMOD,DERIM,Derimod,Derimod Konfeksiyon Ayakkabi Deri Sanayi ve Ticaret A.S.,prefix
DERLUKSYATIRIMHOLDING,DERHL,Derluks Yatırım Holding,Derluks Yatirim Holding Anonim Sirketi,prefix
DESA,DESA,Desa,Desa Deri Sanayi ve Ticaret A.S.,prefix
DESPEC,DESPC,Despec,Despec Bilgisayar Pazarlama ve Ticaret Anonim Sirketi,prefix
DESTEKFINANSFAKTORING,DSTKF,Destek Finans Faktoring,Destek Finans Faktoring A.S.,prefix
DEVAHOLDINGAS,DEVA,Deva Holding A.Ş.,Deva Holding A.S.,exact_key
DINAMIKISIMAKINAYALITIMMALZEMELERI,DNISI,Dinamik Isi Makina Yalitim Malzemeleri,Dinamik Isi Makina Yalitim Malzemeleri Sanayi Ve Ticaret Anonim Sirketi,prefix
DIRITEKS,DIRIT,Diriteks,Diriteks Dirilis Tekstil Sanayi ve Ticaret A.S.,prefix
DITASDOGAN,DITAS,Ditaş Doğan,Ditas Dogan Yedek Parça Imalat ve Teknik A.S.,prefix
DMRUNLUMAMULLER,DMRGD,Dmr Unlu Mamuller,Dmr Unlu Mamuller Uretim Gida Toptan Perakende Ihracat A.S.,prefix
DOFERYAPIMALZEMELERI,DOFER,Dofer Yapı Malzemeleri,Dofer Yapi Malzemeleri Sanayi ve Ticaret A.S.,prefix
DOGANSIRKETLERGRUBU,DOHOL,Doğan Şirketler Grubu,Dogan Sirketler Grubu Holding A.S.,prefix
DOGANLARMOBILYAGRUBU,DGNMO,Doğanlar Mobilya Grubu,Doganlar Mobilya Grubu Imalat Sanayi ve Ticaret Anonim Sirketi,prefix
DOGUARASENERJI,ARASE,Doğu Aras Enerji,Dogu Aras Enerji Yatirimlari AS,prefix
DOGUSANBORU,DOGUB,Doğusan Boru,Dogusan Boru Sanayii ve Ticaret A.S.,prefix
DOGUSGAYRIMENKULYATIRIMORTAKLIGI,DGGYO,Doğuş GYO,Dogus Gayrimenkul Yatirim Ortakligi A.S.,prefix
DOGUSOTOMOTIVSERVIS,DOAS,Doğuş Otomotiv Servis,Dogus Otomotiv Servis ve Ticaret A.S.,prefix
DUNYAHOLDINGAS,DUNYH,Dunya Holding AS,Dünya Holding Anonim Sirketi,exact_canonical
DURANDOGAN,DURDO,Duran Doğan,Duran Dogan Basim ve Ambalaj Sanayi A.S.,prefix
DURUKANSEKERLEMESANAYIVE,DURKN,Durukan Sekerleme Sanayi ve,Durukan Sekerleme Sanayi ve Ticaret Anonim Sirketi,prefix
DOKTASDOKUMCULUK,DOKTA,Döktaş Dökümcülük,Döktas Dökümcülük Ticaret ve Sanayi A.S.,prefix
EDATATEKNOLOJI,EDATA,E-Data Teknoloji,E-Data Teknoloji Pazarlama Anonim Sirketi,prefix
EMEKELEKTRIK,EMKEL,EMEK Elektrik,Emek Elektrik Endustrisi Anonim Sirketi,prefix
ENKA,ENKAI,ENKA,Enka Insaat ve Sanayi A.S.,prefix
ERSU,ERSU,ERSU,Ersu Meyve ve Gida Sanayii A.S.,prefix
EYGGAYRIMENKULYATIRIMORTAKLIGI,EYGYO,EYG GYO,Eyg Gayrimenkul Yatirim Ortakligi A.S.,prefix
EBEBEKMAGAZACILIK,EBEBK,Ebebek Mağazacılık,Ebebek Magazacilik Anonim Sirketi,prefix
ECZACIBASIYATIRIM,ECZYT,Eczacıbaşı Yatırım,Eczacibasi Yatirim Holding Ortakligi A.S.,prefix
ECZACIBASIILAC,ECILC,Eczacıbaşı İlaç,"EIS Eczacibasi Ilaç, Sinai ve Finansal Yatirimlar Sanayi ve Ticaret A.S.",token_subset
EDIPGAYRIMENKUL,EDIP,Edip Gayrimenkul,Edip Gayrimenkul Yatirim Sanayi ve Ticaret A.S.,prefix
EFORYATIRIMSANAYI,EFOR,Efor Yatırım Sanayi,Efor Yatirim Sanayi Ticaret Anonim Sirketi,prefix
EGEENDUSTRIVETICAS,EGEEN,Ege Endüstri Ve Tic. A.Ş.,Ege Endüstri ve Ticaret A.S.,fuzzy_0.900
EGEGUBRESANAS,EGGUB,Ege Gübre San. A.Ş.,Ege Gübre Sanayii A.S.,fuzzy_0.867
EGEPROFILTICVESANAS,EGPRO,Ege Profil Tic. Ve San. A.Ş.,Ege Profil Ticaret ve Sanayi Anonim Sirketi,fuzzy_0.837
EGESERAMIKSANVETICAS,EGSER,Ege Seramik San. Ve Tic. A.Ş.,Ege Seramik Sanayi ve Ticaret A.S.,fuzzy_0.851
EGEPLAST,EPLAS,Egeplast,Egeplast Ege Plastik Ticaret ve Sanayi Anonim Sirketi,prefix
EGEYAPIAVRUPAGAYRIMENKULYATIRIMORTAKLIGIAS,EGEGY,Egeyapi Avrupa Gayrimenkul Yatirim Ortakligi AS,Egeyapi Avrupa Gayrimenkul Yatirim Ortakligi A.S.,exact_key
EKIZKIMYA,EKIZ,Ekiz Kimya,Ekiz Kimya Sanayi ve Ticaret Anonim Sirketi,prefix
EKOSTEKNOLOJI,EKOS,Ekos Teknoloji,Ekos Teknoloji ve Elektrik Anonim Sirketi,prefix
EKSUNGIDA,EKSUN,Eksun Gıda,Eksun Gida Tarim Sanayi Ve Ticaret Anonim Sirketi,prefix
ELITENATURELORGANIKGIDA,ELITE,Elite Naturel Organik Gıda,Elite Naturel Organik Gida Sanayi ve Ticaret A.S.,prefix
EMINISAMBALAJ,EMNIS,Eminiş Ambalaj,Eminis Ambalaj Sanayi ve Ticaret A.S.,prefix
EMLAKKONUTGAYRIMENKULYATIRIMORTAKLIGI,EKGYO,Emlak Konut GYO,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.,prefix
ENERJISAENERJI,ENJSA,Enerjisa Enerji,Enerjisa Enerji A.S.,prefix
ENERYAENERJI,ENERY,Enerya Enerji,Enerya Enerji Anonim Sirketi,prefix
ERBOSANERCIYASBORU,ERBOS,Erbosan Erciyas Boru,Erbosan Erciyas Boru Sanayii ve Ticaret A.S.,prefix
ERCIYASCELIKBORU,ERCB,Erciyas Çelik Boru,Erciyas Çelik Boru Sanayi A.S.,prefix
ERSANALISVERISHIZMETLERIVEGIDASAN,KIMMR,Ersan Alışveriş Hizmetleri ve Gıda San.,Ersan Alisveris Hizmetleri ve Gida Sanayi Ticaret A.S.,prefix
ESCARTURIZMTASIMACILIK,TUREX,Escar Turizm Taşımacılık,Tureks Turizm Tasimacilik Anonim Sirketi,fuzzy_0.857
ESCORT,ESCOM,Escort,Escort Teknoloji Yatirim A.S.,prefix
ESENBOGAELEKTRIK,ESEN,Esenboğa Elektrik,Esenboga Elektrik Üretim A.S.,prefix
ETILERGIDA,ETILR,Etiler Gıda,Etiler Gida Ve Ticari Yatirimlar Sanayi Ve Ticaret Anonim Sirketi,prefix
